ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
1,D,Flight,4,2,177,3,low,F,44,1233,1
2,F,Flight,4,5,216,2,low,M,59,3088,1
3,A,Flight,2,2,183,4,low,M,48,3374,1
4,B,Flight,3,3,176,4,medium,M,10,1177,1
5,C,Flight,2,2,184,3,medium,F,46,2484,1
6,F,Flight,3,1,162,3,medium,F,12,1417,1
7,D,Flight,3,4,250,3,low,F,3,2371,1
8,F,Flight,4,1,233,2,low,F,48,2804,1
9,A,Flight,3,4,150,3,low,F,11,1861,1
10,B,Flight,3,2,164,3,medium,F,29,1187,1
